v_id,lon,lat,typ,voltage,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label
336,11.3269526751765,49.393473117636,substation,220000;110000,0.006276150627615062,0.0018527289067037343,0.0,0.0007288389648299645,High
337,11.5077305510922,48.7611239877457,substation,380000;220000;110000,0.0020920502092050207,0.001447002324220138,0.0,0.0002988482948990396,Low
338,11.8076056361242,48.4554267991033,substation,220000;110000,0.0041841004184100415,0.0014848351972138302,8.771698990377447e-06,0.0005100572268285015,Moderate
339,11.5813705216127,48.7648940508515,substation,380000;220000;110000,0.0041841004184100415,0.003526149483721816,0.0,0.0006403021299668391,High
340,11.6393728932573,48.1787051234443,substation,380000;110000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
341,6.17791451185192,49.9530650802033,substation,220000,0.0041841004184100415,0.001718711139356656,0.0,0.0005184837069006918,Moderate
342,6.21102031526762,49.9586257531557,substation,220000,0.008368200836820083,0.0020857548184989743,1.7543397980754893e-05,0.0009605399725030922,Severe
343,6.11451700702834,49.9053646588261,substation,220000;65000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
344,6.08346044961418,49.7764406189112,substation,220000;65000,0.0020920502092050207,0.001718711139356656,0.0,0.0003171610298790688,Moderate
345,6.27694178519793,49.1977400673896,substation,400000;225000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
346,6.77320783777607,49.2910742103854,substation,380000;220000;110000,0.006276150627615062,0.002384009385376418,1.3157548485566169e-05,0.0007756509810147359,High
347,6.70365235663769,49.1385111923078,substation,400000;225000;90000,0.0020920502092050207,0.0031544686005851403,0.0,0.0004139287621658047,Moderate
348,8.04936352422006,47.550881853478,substation,380000;220000,0.012552301255230124,0.004138577992339494,0.0003026236151680219,0.0017399746540569757,Severe
349,7.50006173413631,51.535174092458,substation,220000,0.0020920502092050207,0.001606690447789847,0.0,0.0003096110163253611,Low
350,6.97593254033334,51.0376007284972,substation,220000;110000,0.0020920502092050207,0.0012397351189117147,0.0,0.00028487882026511074,Low
351,13.2428489964032,52.5349539946502,generator,,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
352,13.249028367237,52.5316238928337,substation,380000;110000,0.0020920502092050207,0.0020857548184989743,0.0,0.0003418991806043257,Moderate
353,8.56218193445384,49.132949935954,substation,380000;110000,0.0041841004184100415,0.005176932160748426,0.0,0.0007515622142553169,High
354,8.4413154852023,49.2514026469585,substation,380000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
355,7.93694768561015,47.6490866072012,substation,380000,0.0020920502092050207,0.00207900381643767,0.0,0.0003414441739769692,Moderate
356,9.06879105808819,53.5666414121342,substation,380000;110000,0.0041841004184100415,0.0020065400686885724,0.0,0.0005378829115227155,High
357,6.7413761724965,49.3574919373628,substation,220000,0.0020920502092050207,0.0013671582624352834,0.0,0.0002934669341858788,Low
358,6.74970009407096,49.3651763747607,substation,220000,0.0020920502092050207,0.0013671582624352834,0.0,0.0002934669341858788,Low
359,6.76601564520935,49.3600771523749,substation,220000;110000,0.0020920502092050207,0.0013671582624352834,0.0,0.0002934669341858788,Low
360,12.1504016214021,49.0127518128214,substation,220000,0.0020920502092050207,0.001384910178499516,0.0,0.00029466338463636813,Low
361,7.5913598406626,51.928441667004,substation,220000;110000,0.0020920502092050207,0.0017512850089349747,0.0,0.000319356456039836,Moderate
362,8.45154719139035,49.0074407636631,substation,220000;110000,0.0020920502092050207,0.001447002324220138,0.0,0.0002988482948990396,Low
363,8.99620817966153,52.379587985752,substation,380000,0.0020920502092050207,0.0018104720591422358,0.0,0.000323345567560383,Moderate
364,9.56282337410874,48.7014898200493,substation,380000;110000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
365,9.37084541589578,48.7191233300187,substation,380000;110000,0.0041841004184100415,0.0020857548184989743,4.385849495188723e-06,0.000546890047834423,High
366,9.37760577643558,48.812606857093,substation,380000;110000,0.0041841004184100415,0.0035837272459700443,0.0,0.0006441827780800228,High
367,9.82158380229154,52.4248552546066,substation,220000;110000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
368,9.0762254363019,49.3633869626072,substation,220000;110000,0.0020920502092050207,0.0012351711398929726,0.0,0.00028457121545596,Low
369,10.1602886150506,49.9891924081733,substation,380000;220000;110000,0.006276150627615062,0.0012760685581455196,1.7543397980754893e-05,0.0007046457502212474,High
370,10.1964888525918,50.0279672057362,substation,220000;110000,0.0020920502092050207,0.001525245254048895,0.0,0.00030412174190625255,Low
371,10.8431177989998,49.3786926858391,substation,380000;220000;110000,0.010460251046025104,0.0011276260770807197,0.0,0.0010826135601328885,Severe
372,9.09051754868887,49.9700413735997,substation,380000;220000;110000,0.008368200836820083,0.0035154499164490524,2.6315096971132338e-05,0.0010642354917203478,Severe
373,8.8139941935628,51.9834366294197,substation,220000;110000,0.0041841004184100415,0.004187436825097503,0.0,0.0006848718279436105,High
374,8.93221843866486,52.1933124298166,substation,220000;110000,0.008368200836820083,0.0033828519178769408,8.771698990377447e-06,0.0010406258400994755,Severe
375,8.95904413219088,52.2784949764899,substation,220000;110000,0.0020920502092050207,0.0011276260770807197,0.0,0.00027732285204639653,Low
376,9.59430158866246,49.7984427303145,substation,220000;110000,0.0041841004184100415,0.0012760685581455196,4.385849495188723e-06,0.0004923185025742012,Moderate
377,10.9729038959004,49.5585073756737,substation,380000;110000,0.0041841004184100415,0.0017126879355891002,0.0,0.000518077752702001,Moderate
378,8.95464412133747,50.0860157333265,substation,220000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
379,7.17590438914786,51.4755782506206,substation,220000,0.0020920502092050207,0.0014690490681114779,0.0,0.0003003342098033898,Low
380,10.99933301239,52.2001419745622,substation,380000;110000,0.006276150627615062,0.0017163557856630205,8.771698990377447e-06,0.0007269840173072464,High
381,10.9772332275028,52.1694333176707,plant,,0.0020920502092050207,0.0025866156464012307,0.0,0.00037565639086871693,Moderate
382,10.231641549556,48.5297622792522,substation,380000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
383,10.2224539935941,48.7367522347984,substation,380000;110000,0.0041841004184100415,0.0011276260770807197,0.0,0.00047864552906801947,Moderate
