,v_id,lon,lat,voltage,typ,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,eigen_centrality,closeness_centrality,clustering_coefficient,load_centrality,avg_shortest_path_length,average_neighbor_degree,node_strength
12651,3797,-109.316410713582,37.8683036489969,188600.0,station,0.00020014677430115418,2.9898388059909108e-05,0.0,1.0104506163811318e-05,Moderate,4.076600580168082e-283,0.0,0.16666666666666666,0.0,4.454545454545454,1.6666666666666667,997000.0
12652,4311,-73.1278914140693,46.0460593933029,211600.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,1.0,282437.0
12653,9306,-87.3915212208195,39.5325217655888,400000.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,2.0,0.5,460000.0
12654,24555,-89.1038895283857,30.4271798250916,253000.0,joint,0.00020014677430115418,7.479257973893586e-05,8.902534218537237e-09,1.3423179368060527e-05,High,3.668179438392493e-269,0.00015011008072586562,0.0,1.1128167773171548e-08,0.5,0.0,847311.0
12655,15816,-82.3619466336438,31.3187839972242,230000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12656,28782,-95.0508948624479,33.9875723874532,330000.0,merge,0.0001334311828674361,4.67146712585848e-05,4.006140398341757e-08,8.746965945547033e-06,Moderate,2.8953509040646005e-262,0.00010007338715057709,0.0,4.006140398341757e-08,1.5,1.0,690000.0
12657,740,-89.1119471075441,42.5362739193543,384000.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.5,0.0,0.6666666666666666,0.5,690000.0
12658,22829,-95.4549863126222,35.6902217771433,345000.0,joint,0.00020014677430115418,0.00021244482035620655,0.0,2.356662217758844e-05,Severe,3.2010192820875445e-21,0.0003922231141546812,0.0,0.0,0.0,0.0,1035000.0
12659,7845,-119.111568705061,45.9201419547157,228600.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,1.0,230000.0
12660,28867,-92.7388571469726,44.0435325591571,345000.0,merge,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,1.0,282437.0
12661,22707,-88.5149609451447,30.3914040135744,230000.0,joint,0.00020014677430115418,4.265084188353226e-05,8.902534218537237e-09,1.1052846524789553e-05,High,4.500567448165623e-276,6.671559143371805e-05,0.0,8.902534218537237e-09,0.6666666666666666,0.0,690000.0
12662,28269,-79.9723757857679,32.7226359544688,243800.0,merge,0.0001334311828674361,8.187843361011696e-05,1.3353801327805856e-08,1.1316477890323071e-05,High,9.103910564534818e-263,0.00010007338715057709,0.0,1.3353801327805856e-08,0.5,0.0,469200.0
12663,3432,-106.046771936023,41.6710206957128,303600.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.8333333333333333,2.0,230000.0
12664,1856,-95.3273462997868,42.5533930862948,204200.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,7.933333333333334,1.0,282437.0
12665,18391,-88.3554827632603,33.650708663621,500000.0,joint,0.00020014677430115418,7.239496866585448e-05,1.3353801327805856e-08,1.3250311842290899e-05,High,4.978581190756911e-262,0.00015011008072586562,0.16666666666666666,1.3353801327805856e-08,0.5,0.0,1282437.0
12666,26989,-81.3011683354454,39.3514667950272,253000.0,joint,0.00020014677430115418,9.179585150376673e-05,1.3353801327805856e-08,1.4681054323796903e-05,Severe,2.530832685518862e-269,0.00015011008072586562,0.0,1.3353801327805856e-08,0.5,0.0,703800.0
12667,30303,-95.2149620556942,29.9133463970622,345000.0,joint,0.0001334311828674361,4.565845604190122e-05,4.006140398341757e-08,8.669074027290138e-06,Moderate,1.0946504859354753e-268,0.0001200880645806925,0.0,4.006140398341757e-08,1.5,1.0,690000.0
12668,4264,-82.5823144642885,28.0252675927438,230000.0,substation,6.671559143371805e-05,3.851262839109826e-05,0.0,5.4733661606277395e-06,Low,4.590578788975733e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,234600.0
12669,9047,-111.543807987398,42.7405754758794,322000.0,station,6.671559143371805e-05,3.39807690024037e-05,0.0,5.139158495863816e-06,Low,6.007279022595748e-276,6.671559143371805e-05,0.0,0.0,0.0,0.0,307000.0
12670,18498,-98.0708769165486,29.7847612958057,345000.0,joint,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,0.5,690000.0
12671,13465,-106.280489913178,35.8585482156488,220800.0,substation,0.00020014677430115418,5.4781693815736034e-05,8.902534218537237e-09,1.1947451442579512e-05,High,3.668179438392493e-269,0.0001334311828674361,0.16666666666666666,8.902534218537237e-09,1.0,1.0,847311.0
12672,21673,-105.687392173293,39.7015522149368,230000.0,joint,0.00020014677430115418,0.00023172049700331075,0.0,2.49881311712355e-05,Severe,1.3713391437714908e-243,0.0003485549266741188,0.0,0.0,0.0,0.0,767000.0
12673,11839,-77.4578159208383,38.7526815106004,312600.0,station,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,282437.0
12674,27887,-118.449093200458,34.0278988833128,230000.0,joint,0.00020014677430115418,5.85914091630612e-05,3.561013687414895e-08,1.2252087579705013e-05,High,9.00113448867118e-276,0.0001334311828674361,0.0,3.561013687414895e-08,2.0,1.0,690000.0
12675,28632,-80.2832503592336,43.553683517332,457800.0,merge,0.0001334311828674361,7.35493759560971e-05,1.3353801327805856e-08,1.0702241068417637e-05,Moderate,5.974295822794373e-269,0.0001200880645806925,0.0,1.3353801327805856e-08,0.5,0.0,564874.0
12676,175,-122.137852245783,37.4928723378993,191200.0,station,0.0001334311828674361,5.416009192431665e-05,1.7359941726147613e-07,9.414457307710802e-06,Moderate,2.432556935450003e-269,8.895412191162407e-05,0.0,1.7359941726147613e-07,3.238095238095238,6.0,460000.0
